9553,APC/ line
9562,AUTO_START_CLUTCH_PEDAL
95E3,Card Identifier Button1
95E5,Card Identifier Button2
95E7,Card Identifier Button3
95E9,Card Identifier Button4
95F0,Card Reader Com
95F1,Card ReaderAlim
95F4,Card ReaderSwitch
95B0,CHILDLOCK
9590,COMBI_SWITCH
953E,Default antenna Ext Left
953F,Default antenna Ext Right
9540,Default antenna Ext TR
953B,Default antenna int1
953C,Default antenna int2
953D,Default antenna int3
9533,DONGLE
957B,DTC_ACC1
957C,DTC_ACC2
957E,DTC_APC
957D,DTC_APC2
957A,DTC_BatTempRelay
9581,DTC_Defroster
9582,DTC_EepromFailure
9512,DTC_ElectronicIRXFailed
9579,DTC_FogLamp
9578,DTC_Glasshatch
9511,DTC_IRXComFailed
95D1,DTC_LeftFlashBulbOutage
95D7,DTC_LeftFlashOverload
9510,DTC_LVE
9574,DTC_PowerDoorlock
958A,DTC_PowerECU
9572,DTC_PowerFlasher
9573,DTC_PowerStopLamp
9571,DTC_PowerWiper
957F,DTC_PTC1
9580,DTC_PTC2
956D,DTC_PTC3
956E,DTC_PTC4
956F,DTC_PTC5
9586,DTC_RegistersFailure
95C3,DTC_Rheostat
95D0,DTC_RightFlashBulbOutage
95D6,DTC_RightFlashOverload
9585,DTC_RomFailure
9583,DTC_RoomL1
9584,DTC_RoomL2
9587,DTC_RoomL3
9588,DTC_RoomL4
9589,DTC_RoomL5
955B,DTC_SAFETY_LINE_SSD
9591,DTC_SteeringWheelHorn
9570,DTC_StopLamp
9577,DTC_Tailgate
9561,END_CLUTCH_PEDAL
9556,ESCL BCM Relay
9552,ESCL function
9551,ESCL module
9554,ESCL sensor line
9550,ESCL supply lines
95D3,LIGHT SENSOR
95D2,LINNETWORK
95D8,LINNETWORK2
9522,MASTER_MOTOR_FAILURE
9521,MOTOR_COMM_FAILURE
9567,ParkingBrakeStatus
9520,RAIN_SENSOR
95A0,REAR_WIPER_AUTOSTOP
95C1,SAFETY LINE BDU
9523,SLAVE_MOTOR_FAILURE
95D4,SOLAR SENSOR1
95D5,SOLAR SENSOR2
9560,START_CLUTCH_PEDAL
9563,STOP_PEDAL_DFT_11
9564,STOP_PEDAL_DFT_12
9565,STOP_PEDAL_DFT_21
9566,STOP_PEDAL_DFT_22
5A80,TPMS Function
5A82,TPMS VALVE1
5A83,TPMS VALVE2
5A84,TPMS VALVE3
5A85,TPMS VALVE4
9531,VSC BCM APV
9542,VSC BCM Atic64_Géneral_default
9532,VSC BCM Optical Sensor
9536,VSC BCM Optical Sensor ASS
9535,VSC BCM Optical Sensor DR
9538,VSC BCM Optical Sensor R_ASS
9537,VSC BCM Optical Sensor R_DR
9530,VSC BCM RF
5A60,TPMS_UNDER_INFLATED
5A72,TPMS_WHEEL_AVG
5A73,TPMS_WHEEL_AVD
5A74,TPMS_WHEEL_ARD
5A75,TPMS_WHEEL_ARG
9557,Bad ESCL Configuration
