A4A5,AQSOxydantSensor
A4A8,AQSPreHeat
A4A3,AQSReductorSensor
A4A7,AQSSupply
A4C9,BoilerCommand
A4B5,BoilerFeedback
D010,CANController
D000,CANNetwork
A4A0,ClimBox
A4CB,CompressorValveCommand
A4A2,Config
E14F,DiagMuxBCM
E140,DiagMuxECM
E14E,DiagMuxMeter
E15B,DiagMuxUSM
A48A,EComp
A489,ECompAbnormalHV
A487,ECompAbnormalRunUp
A48B,ECompCPU
A485,ECompCurrentSensor
A484,ECompOutputLineOC
A483,ECompOutputLineSC
A486,ECompOverload
A4F9,ECompTempSensor
A4A4,EvapTempSensor
A4B9,FeetVentActuator
A4F5,FeetVentLINActuator
A4B4,FrontControlPanel
A4B0,HeatSeatFrontLeftHighRelay
A4AF,HeatSeatFrontLeftLowRelay
A4BC,HeatSeatFrontRightHighRelay
A4BA,HeatSeatFrontRightLowRelay
A4AE,HotSourceTempSensor
A4AB,HumiditySensor
A4A6,InCarTempSensor
A4B2,IonizerMode
A4DE,IonizerSupply
A4BB,LeftMixActuator
A4F7,LeftMixLINActuator
A4A9,LeftSolarSensor
A4D3,LIN1
A4D4,LIN2
A4A1,PowerSupply
A4AC,PWMAQS
A4C6,PWMBlowerCommand
A4D7,RearBlowerCommand
A4B7,RecyActuator
A4F6,RecyLINActuator
A4BD,RightMixActuator
A4F8,RightMixLINActuator
A4F4,SteeringHeaterRelay
A4CF,Valve1Command
A4D1,Valve2Command
A4E5,WindshieldHeating1Command
A4E7,WindshieldHeating2Command
E148,DiagMuxVDC
A482,HPM
A481,PTC
A48C,HPMACleakageDynamic
A4C0,HPMACleakageStatic
A4C1,HPMStatusValve1
A4C2,HPMStatusValve2
A4C3,HPMStatusSensor1
A4C4,HPMStatusSensor2
A4C5,PTCStatElectronicDefect
A4C7,PTCStatOverTemperature
A4C8,PTCStatOverUndervoltage
A4E1,PTCStatHeatercirc1off
A4E2,PTCStatHeatercirc2off
A4E3,PTCStatHeatercirc3off
A4E4,PTCStatHeatercirc4off
E154,DiagMuxIVI
E150,DiagMuxACU
E143,DiagMuxHEVC
