5B92,[C1B92]BRAKE CONTROL SYSTEM
5B93,[C1B93]ENGINE/HEV SYSTEM
5B94,[C1B94]TM SYSTEM
5B96,[C1B96]ADAS SYSTEM
5B98,[C1B98]ADAS SYSTEM
5BA0,[C1BA0]ADAS/CHASSIS CTRL BRAKE SYS
5BA1,[C1BA1]f_CAN_MSGCOUNT_FAIL[iCAN_RXID1C5]
5BA2,[C1BA2]STEERING ANGLE SENSOR
5BAB,[C1BAB]STOP LAMP SW
5BB4,[C1BB4]CONTROL MODULE
5BB5,[C1BB5]IGN POWER SUPPLY
5BC0,[C1BC0]FR WHEEL SENSOR
5BC1,[C1BC1]FL WHEEL SENSOR
5BC2,[C1BC2]RR WHEEL SENSOR
5BC3,[C1BC3]RL WHEEL SENSOR
5BC4,[C1BC4]DECEL G SENSOR
5BC5,[C1BC5]SIDE G SENSOR
5BC6,[C1BC6]PRESSURE SENSOR
5B80,Calibration not complete
5B81,Configuration not complete
5B97,[C1B97]BCM-CAN message counter failure.
5BA5,[C1BA5]CHASSIS CTRL ENGINE SYS
DA30,ADAS SYSTEM
E140,[U2140]ENGINE/HEV SYSTEM
DA4E,[U1A4E]ENGINE/HEV SYSTEM
DA3E,[U1A3E]ADAS SYSTEM
DA3B,[U1A3B]MT SYSTEM
DA36,[U1A36]BCM
DA35,[U1A35] EPKB
DA33,[U1A33]SONAR SYSTEM
5B95,EPKB
C076,[U0076]CAN CHASSIS
C078,[U0078]IC-CAN
E143,ENGINE/HEV SYSTEM
E154,NAVI SYSTEM
E155,[U2155]EPB
E15B,[U215B]USM
E165,[U2165]SONAR SYSTEM
E240,[E240] ENGINE/HEV SYSTEM
E14F,[U214F]BCM
E14E,[U214E]METER
E148,[U2148]BRAKE CONTROL SYSTEM
E141,[U2141]TM SYSTEM
E252,[U2252]ADAS SYSTEM
E243,[E243] ENGINE/HEV SYSTEM
E265,[U2265]SONAR SYSTEM
