,734,0,7,1,0,0,,14ffffff,54,ff,Reset DTC
,734,0,23,1,0,0,,1902ff,590200,ff,Query DTC
,734,24,24,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_H,0:switch H not pressed;1:switch H pressed
,734,25,25,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_G,0:switch G not pressed;1:switch G pressed
,734,26,26,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_F,0:switch F not pressed;1:switch F pressed
,734,27,27,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_E,0:switch E not pressed;1:switch E pressed
,734,28,28,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_D,0:switch D not pressed;1:switch D pressed
,734,29,29,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_C,0:switch C not pressed;1:switch C pressed
,734,30,30,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_B,0:switch B not pressed;1:switch B pressed
,734,31,31,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_A,0:switch A not pressed;1:switch A pressed
,734,32,32,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_S,0:switch S not pressed;1:switch S pressed
,734,33,33,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_R,0:switch R not pressed;1:switch R pressed
,734,34,34,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_P,0:switch P not pressed;1:switch P pressed
,734,35,35,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_N,0:switch N not pressed;1:switch N pressed
,734,36,36,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_M,0:switch M not pressed;1:switch M pressed
,734,37,37,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_L,0:switch L not pressed;1:switch L pressed
,734,38,38,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_K,0:switch K not pressed;1:switch K pressed
,734,39,39,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_J,0:switch J not pressed;1:switch J pressed
,734,41,41,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_Z,0:switch Z not pressed;1:switch Z pressed
,734,42,42,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_Y,0:switch Y not pressed;1:switch Y pressed
,734,43,43,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_X,0:switch X not pressed;1:switch X pressed
,734,44,44,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_W,0:switch W not pressed;1:switch W pressed
