8001,DF072 CIRCUIT 1 FRONT AIRBAG DRIVER
8010,DF075 CIRCUIT 1 PASSENGER FRONT AIRBAG
8020,DF244 FRONT LEFT CHEST AIRBAG CIRCUIT
8021,DF258 LEFT HEAD/SIDE AIR BAGS CIRCUIT
8028,DF259 RIGHT FRONT CHEST AIRBAG CIRCUIT
8029,DF260 RIGHT HEAD/SIDE AIR BAGS CIRCUIT
8050,DF271 FRONT LEFT SEAT BELT SENSOR CIRCUIT
8052,DF272 FRONT RIGHT SEAT BELT SENSOR CIRCUIT
8053,DF276 REAR LEFT SEAT BELT SENSOR CIRCUIT
8054,Second Row Center Seatbelt Sensor
8055,DF277 RIGHT SEAT BELT SENSOR CIRCUIT
8073,DF253 REAR LEFT REAR RETRACTOR CIRCUIT
8075,DF252 REAR RIGHT REAR RETRACTOR CIRCUIT
8091,DF266 LEFT FRONT DOOR IMPACT SENSOR CIRCUIT
8092,DF267 LEFT SIDE IMPACT SENSOR CIRCUIT
8094,Center Frontal Restraints Sensor
8096,DF269 RIGHT SIDE IMPACT SENSOR CIRCUIT
8098,DF268 RIGHT FRONT DOOR IMPACT SENSOR CIRCUIT
9000,DF094 ERROR CONTROL UNIT 1
9029,DF255 FRONT LEFT RETRACTOR CIRCUIT
9001,Front Left Lap Tensioner
9002,Front Right Lap Tensioner
9019,Battery Fuse
9020,Battery Fuse 2
9029,Front Left Seatbelt Pretensioner Deploymnt Ctrl
9036,DF163 SUPPLY VOLTAGE
9053,DF234 CURRENT SENSOR DETECTION PASSENGER SEAT OCCUPATED
9500,DF262 INFORMATION MULTIPLEX VEHICLE SPEED
80D2,DF010 INDICATOR LAMP CIRCUIT
80D3,DF165 AIRBAG FAULT LAMP CIRCUIT
80D5,DF415 INDICATOR LAMP CIRCUIT DISABLED. PASSENGER AIRBAG
80DF,DF091 AIRBAG INTERLOCK SWITCH CIRCUIT
902A,DF256 RIGHT FRONT RETRACTOR CIRCUIT
907B,DF242 LEFT/RIGHT HAND DRIVE CONFIGURATION
907C,DF426 ABS CONTROL UNIT CONFIGURATION
907E,DF034 CONTROL UNIT SECURED
92B5,DF326 FRONT IMPACT DEVICE
92B6,DF448 CONTROL UNIT TO BE REPLACED AFTER CRASH
92B7,Rollover detection
92B9,DF450 CONTROL UNIT TO BE REPLACED AFTER CRASH
92BA,DF194 CONTROL UNIT TO BE REPLACED AFTER CRASH
C073,DF249 CAN FAULT
C100,DF282 MULTIPLEX OUTPUT NO INJECTION
C121,DF263 ABS/ESP MULTIPLEX SIGNAL NOT PRESENT
C140,DF270 MULTIPLEX SIGNAL ALSO NOT PRESENT
C155,DF264 MULTIPLEX EMISSION NO INSTRUMENT PANEL
E150,DF095 ERROR CONTROL UNIT 2
