466,DF019 OUTSIDE TEMPERATURE SENSOR
602,DF100 CHARGING INTERRUPTED
603,DF105 DC CHARGING PORT
612,DF102 S2 RELAY
613,DF122 CARRIER CURRENT CONTROLLER ONLINE
614,DF123 CARRIER CURRENT CONTROLLER ONLINE
616,DF121DC COMBO
617,DF124 PLUG DISCONNECTED
618,DF119 DC CHARGING PORT
619,DF120 DCDC INPUT VOLTAGE
623,DF083 SUPPLY DRIVE BATTERY
626,DF095 INTERNAL FAILURE DCDC IGNITION POWER MODULE
627,DF103 DRIVE BATTERY VOLTAGE
628,DF088 DRIVE BATTERY CHARGING CIRCUIT
629,DF101 AC CHARGE PORT OVERHEAT
630,DF104 DC CHARGE RELAY CIRCUIT
631,DF112 TEMPERATURE SENSOR CIRCUIT 2
645,DF109 DCDC INPUT CURRENT
654,DF111 TEMPERATURE SENSOR CIRCUIT 1
655,DF012 IMMOBILIZER
662,DF082 SELECTOR LEVER LOCK ELECTROMAGNETIC CIRCUIT
666,DF106 PRECHARGING RELAY
669,DF034 CHARGER
1010,DF117 DCDC OUTPUT VOLTAGE SENSOR
1011,DF114 DCDC INPUT VOLTAGE
1036,DF113 CONTROL UNIT (EEPROM)
1037,DF091DCDC
1038,DF118 INTERNAL FAULT DCDC IGNITION POWER MODULE
1040,DF046 SUPPLY 7 volts
1041,DF094 INTERNAL FAULT DCDC IGNITION POWER MODULE
1042,DF096 DCDC CONTROL VOLTAGE
064D,DF110 DCDC INPUT VOLTAGE
066B,DF090 LEAKAGE CURRENT
100A,DF004 CHARGER 1 TEMPERATURE SENSOR CIRCUIT
100B,DF084 INTERNAL TEMPERATURE CONTROL UNIT
100C,DF116 DCDC OUTPUT CURRENT SENSOR
100E,DF115 DCDC INPUT CURRENT SENSOR
D001,DF107 MULTIPLEX SIGNAL DCDC NOT PRESENT
D002,DF089 CAN ERROR
D003,DF108 PLAUSABLE EVC MULTIPLEX SIGNAL
D004,DF097 MULTIPLEX SIGNAL BMS NOT PRESENT 
