9200,LEVELING_PWR_SSR
9201,LEVELING_FT_SSR
9202,LEVELING_RR_SSR
9203,LIN_AMBIANT
9207,LVL_ANALOG_CMD
9210,LEVELING_MAN_SWITCH
9212,DF016 LEFT LOW BEAM CIRCUIT
9213,DF017 RIGHT LOW BEAM CIRCUIT
9214,DF127 SIDE LIGHTS
9218,DF018 LEFT HIGH BEAM CIRCUIT
9219,DF019 RIGHT HIGH BEAM CIRCUIT
9221,DF115 RAIN/BRIGHT SENSOR CIRCUIT
9227,DF010 COMMUNICATION CIRCUIT CAN
9231,DF073 DAYTIME RUNNING LIGHT CIRCUIT, RIGHT
9236,DF116 RAIN/BRIGHT SENSOR
9238,WIPER_MOTOR
9241,DF074 DAYTIME RUNNING LIGHT CIRCUIT, LEFT
9256,LIGHT_FRONT_RIGHT_FOG
9257,DF126 SIDE LIGHTS
9270,DF114 COMBINATION SWITCH UNDER STEERING WHEEL CIRCUIT,
9271,DF119 REAR FOG LAMP CIRCUIT
9274,DF113 BACKLIGHT AND NUMBER PLATE LIGHT
9275,LOAD_SPARE_4
9281,DF151 SUPPLY
9282,DF139 BATTERY VOLTAGE 12 V
9283,DF132 BATTERY VOLTAGE 12 V
9284,DF142 BATTERY VOLTAGE 12 V
9286,LEFT_LED_LOW_BEAM
9287,RIGHT_LED_LOW_BEAM
920E,DF006 CONTROL UNIT
921A,LIGHT_FRONT_LEFT_FOG
921D,DF047 WINDSCREEN WIPER PROTECTION
92A0,LCM01
92A1,LCM02
92A2,LCM03
92A3,LCM04
92A4,LCM05
92A5,LCM06
92A6,LCM07
92A7,LCM08
92A8,LCM09
92A9,LCM10
92B0,LCM11
92B1,LCM12
92DB,LEVELING_INIT_FAILED 
