5601,DF037 BATTERY VOLTAGE 12 V
5604,DF054 TORQUE SENSOR
5606,DF035 MOTOR VARIABLE POWER STEERING
5608,DF002 CONTROL UNIT
5615,DF087 CONTROL UNIT OVERHEAT
5616,DF067 CONTROL UNIT
5617,Inconsistent LKA request
5618,DF116 INVALID STEERING ANGLE MULTIPLEX SIGNALS
5621,DF090 CAN ERROR
5623,DF091 CAN ERROR
5624,DF149 POWER STEERING
561A,DF057 INFORMATION MULTIPLEX VEHICLE SPEED
561B,DF102 INFO. INVALID MULTIPLEX DRIVE SPEED
561C,CAN Steering Wheel Angle fault (STRG) Invalid
561E,DF063 COMMUNICATION CIRCUIT CAN
561F,DF095 INVALID STEERING ANGLE MULTIPLEX SIGNALS
C028,DF127 CAN FAULT
C073,DF143 COMMUNICATION CAN-V1
C126,CAN Steering Wheel Angle fault (STRG) Absent
C328,CAN Steering Wheel Angle fault (STRG) Checksum incorrect
C428,CAN Steering Wheel Angle fault (STRG) Clock Incorrect
D000,DF117 CAN ERROR
D321,DF066 CONTROL UNIT
D322,EPS Fault ECU Missing Calibration
E140,DF141 120 ECM NOT DETECTED BY 1232 EPS CAN-V1
E148,DF096 CAN ERROR
E14F,DF136 645 BCM NOT DETECTED BY 1232 EPS CAN-V1
E154,DF135 CAN ERROR 
