22,Mastervac brake assistance system
5040,DF103 FRONT MULTIPLEX SIGNAL RADAR MISSING
5041,DF503 CONTROL UNIT CONFIGURATION
5042,DF430 SHUTOFF SOLENOID VALVE - FRONT RIGHT/REAR LEFT
5043,DF431 SHUTOFF SOLENOID VALVE - FRONT LEFT/REAR RIGHT
5046,DF432 SOLENOID VALVE - EL. CHECK VALVE - FRONT R/REAR L
5047,DF433 SOLENOID VALVE - EL. CHECK VALVE - FRONT L/REAR R
5048,DF184 SOLENOID VALVE RELAY
5049,DF002 FRONT LEFT INLET SOLENOID VALVE CIRCUIT
5050,DF025 CURRENCY. REAR RIGHT EXHAUST SOLENOID VALVE
5051,DF300 CONTROL CIRCUIT PUMP MOTOR
5052,DF434 POWER BRAKE BOOST PERFORMANCE
5053,CAN Receive Monitor
5054,Judgment time 2-2
5055,CAN register
5056,DF164 SUPPLY VOLTAGE CONTROL UNIT
5058,DF275 CONTROL UNIT
5059,DF427 SOLENOID VALVE COLD START ACC.
5061,DF060 WHEEL SPEED SENSOR FRONT LEFT
5063,DF059 WHEEL SPEED SENSOR FRONT RIGHT
5065,DF062 REAR LEFT WHEEL SPEED SENSOR
5067,DF061 REAR RIGHT WHEEL SPEED SENSOR
5068,DF408 WHEEL SPEED SENSORS COMPLIANCE
5069,DF409 WHEEL SPEED SENSORS COMPLIANCE
5070,DF085 LATERAL ACCELERATION SENSOR
5071,DF282 LONGITUDINAL ACCELERATION SENSOR
5072,DF081 YAW MOMENTUM SENSOR
5073,DF347 VACUUM SENSOR CIRCUIT
5074,DF080 LOOP SPEED SENSOR CIRCUIT
5075,Activation HDC switch
5076,DF117 PROGRAMMING CALIBRATION ABS/ESP
5077,DF119 GEAR TYPE CONFIGURATION
5078,DF258 PARKING BRAKE TYPE CONFIGURATION
5079,DF412 WHEEL CIRCUMFERENCE
5080,DF066 MULTIPLEX OUTPUT NO INJECTION
5081,DF259 MULTIPLEX SIGNAL FPA NOT PRESENT
5082,DF311 NO OUTPUT QUICKSHIFT GEARED. VIA MULTIPLES.
5083,DF221 MULTIPLEX SIGNALS STEERING ANGLE SENSOR
5085,DF186 MULTIPLEX EMISSION NO INSTRUMENT PANEL
5086,DF098 MULTIPLEX SIGNAL ALSO NOT PRESENT
5087,DF335 INVALID UPC MULTIPLEX SIGNALS
5088,DF500 NO MULTIMEDIA MULTIPLEX SIGNAL
