10,Stop light relay command
11,DF152 REVERSING LAMP CIRCUIT
20,DF015 SERVO PRESSURE SENSOR CIRCUITS
21,Vaccum Sensor pressure 2
22,DF003 BRAKE SERVO CIRCUIT LEAK
23,DF009 VACUUM PUMP AGING COUNTER LIMIT 2
24,vacuum pump electric
26,DF013 BRAKE PEDAL POSITION SIGNAL
27,Mastervac sensor power supply
60,DF063 DRIVER'S DOOR SWITCH
62,DF117 CHARGING PORT LATCH
63,DF115 CARGO HATCH
70,Shift Lock electrical control circuit
71,gear lever
72,Gear lever sensor - track 1
73,Gear lever sensor - track 2
74,Incoherence detection position park on levier between info du CMF and info levier reçue on le CAN
80,DF095 CHARGING PLUG
81,DF053 CHARGING PLUG
90,Eco mode switch
101,Thermistor Heater 1
102,Thermistor Heater 2
103,Thermistor Heater 3
104,Thermistor Heater 4
105,DF085 INTERIOR HEATER
106,Heat water temperature sensor
120,Heater electrical command circuit
121,Heater request relay electrical command circuit
130,Pulser relay power control circuit
140,Feedback Heater Water pump of passenger compartment
141,Heater water pump of passenger compartment
150,High Voltage Supply of the Air Conditioning - Side Compressor
151,Low Voltage Supply of the Air Conditioning - Side Computer
152,DF086 COMPRESSOR AIR CONDITIONING
153,Inverter of the Air Conditioning
154,Electric motor of air conditioning
156,Evaporator sensor for AC
160,Heater Led control circuit
161,Self preconditioning relay
170,Pulser power supply relay
171,DF067 FAN
180,Battery conditioning system (AC, CTP),,
181,Battery CTP/THP relay 1
182,Battery CTP/THP relay 2
183,Battery CTP/THP relay 3
184,Battery HVAC relay electrovalve 1
185,Battery HVAC relay electrovalve 2
186,Battery HVAC fan out (command)
187,Battery HVAC temperature sensor
188,battery blower rotation speed feedback line
225,DF036 RAIL 1 PEDAL POTENTIOMETER CIRCUIT
226,DF037 ACCELERATOR PEDAL POSITION
301,Underhood switch module (USM)
302,DF088 COMPRESSOR AIR CONDITIONING
303,DF187 LOCAL DATA NETWORK
304,power electronic block
305,DF071 COMMUNICATION CAN
306,DF149 CONTROL UNIT
307,Power electronic block data
308,DF469 BMS SECURITY NOT RECOGNIZED BY HEVC
401,power electronic block 01
402,14v static converter in default (from CAN) 01
403,EM inverter in default (from CAN) 01
404,14v static converter in default (from CAN)
405,DF089 STATIC CONVERTER 14V
406,EM inverter in default (from CAN)
407,DCDC C class default
410,Battery Charger Block in Default (from CAN) 01
411,DF042 COMMUNICATION CAN
412,Battery Charger Bloc - High Voltage Side (from CAN)
413,Main Voltage Supply of the Battery Charger Block (from CAN)
414,DF076 ELECTRICAL SYSTEM CIRCUIT
415,DF139 PEB/UPS MULTIPLEX TRANSMISSION MISSING
420,DF610 MULTIPLEX SIGNAL BMS NOT PRESENT
430,comfort interlock
431,DF161 CHARGING PORT LATCH
432,DF022 SAFETY LOCK
433,DF023 HEATING RESISTANT LOCK
434,DF024 AIR CONDITIONING COMPRESSOR LOCK
435,DF075 SAFETY LOCK
440,DF044 INSULATION
441,DF062 INSULATION
442,DF150 INSULATION
443,Insulation Clim
450,Power latch main relay operating
460,Engine Coolant Temperature Sensor
461,Cooling valve 1 control circuit
462,DF026 WATER PUMP REGULATION WHILE DRIVING
463,DF027 WATER PUMP CONTROL WHILE DRIVING
464,Feedback load mode water pump
465,Load mode water pump
467,PAC box
468,Peltier fan request electrical command circuit
469,Peltier external fan
