F003,VBatt
9101,InCarTemp
9104,EvapTemp
9105,ECU
9160,RecyActr
9171,RightMixActr
9162,FeetVentActr
910B,AQS_Reductor
911B,AQS_Oxydant
912B,AQS_Supply
913B,AQS_PreHeating
9106,LeftSolarSensor
9103,HumiditySensor
9150,LIN_Bus
9165,AQM_FragranceMotor
9166,AQM_Ionizer
9175,AQM_FragranceBlower
9151,LIN2_Bus
9176,AQM_IonizerMode
91A7,FrontControlPanel
9114,HotSourceTemp
9113,BatteryEvapTemp
9109,BlowerControl
9184,RelayOutput
9133,CompValve
9185,BatteryBlowerSystem1
9186,BatteryBlowerSystem2
9187,CabinCoolingElectroVanne
9188,BatteryCoolingElectroVanne
91D4,HeatPumpECU
91D7,HeatPumpSensor1
91D8,HeatPumpSensor2
91D5,HeatPumpValve1
91D6,HeatPumpValve2
9161,DistMildActr
9182,BatteryCoolingActr
9183,BatteryBlowerControl
91BD,SpareOutput1
91CB,SpareInput1
91CC,SpareInput2
9170,LeftMixActr
