1006,DF001 PEB/UPS INTERLOCK
1007,DF020 COMMUNICATION CAN
1014,DF032 ONDULATOR MODULE
1016,DF034 ONDULATOR MODULE
1024,DF018 CIRCUIT SUPPLY SPEED. PLUS
1025,DF008 ROTOR POSITION SENSOR CIRCUIT
1026,DF030 ROTOR POSITION SENSOR CIRCUIT
1027,DF031 ROTOR POSITION SENSOR CIRCUIT
1039,Inverter_Failure_Class_C
1044,DF073 COMMUNICATION CAN
1045,DF072 COMMUNICATION CAN
1046,DF075 PERFORMANCE ELECTRIC MOTOR
1047,DF076 PERFORMANCE ELECTRIC MOTOR
1052,DF097 ONDULATOR MODULE
1055,DF098 ONDULATOR MODULE
1056,DF114 DRIVE BATTERY RELAY
1062,DF094 ONDULATOR MODULE
1063,DF096 ONDULATOR MODULE
1064,DF095 ONDULATOR MODULE
1067,DF113 INVERTER SUPPLY
1072,DF112 CURRENT PHASE 1
1073,EM_stalling
1074,EM_over_speed_warning
1078,Phase_U_overcurrent
1079,Phase_V_overcurrent
1080,Phase_W_overcurrent
101A,DF004 ELECTRIC MOTOR PHASE CIRCUIT
101B,DF041 ELECTRIC MOTOR PHASE CIRCUIT
101C,DF042 ELECTRIC MOTOR PHASE CIRCUIT
101E,DF005 EXCITATION/ONDULATOR MODULES OVERHEAT
102B,DF010 LOCK ELECTRIC MOTOR
102C,DF019 ENGINE OVERHEAT
102E,DF011 LOCK SPIDERBOX
102F,DF012 INHIBIT EXCITATION
D000,DF071 COMMUNICATION CAN
D001,DF078 COMMUNICATION CAN
D002,DF079 COMMUNICATION CAN 
