600,DF080 COMMUNICATION CAN
634,DF041 TEMPERATURE TOO HIGH
1806,DF087 AVAILABLE INFORMATION
5111,DF038 FLAT MODE
5218,DF095 STEERING ANGLE SENSOR
1D90,DF086 ERROR SENSOR
511A,DF085 TRANSDUCER DIAGNOSTICS PERFORMED
562C,DF084 TIRE SIZE
574A,DF091 RADAR SLEEP
5B01,Interference Noise
5B02,DF033 INTERNAL FAULT
5B03,CAN communication failure
5B04,DF034 CONTROL UNIT CONFIGURATION
5B06,DF039 FLAT MODE
5B08,DF025 RADAR SLEEP
5B15,DF015 MATCH MULTIPLEX INFO ABS
5B17,DF046 LOCKING AFTER IMPACT
A10A,DF081 DEEP SYSTEM VOLTAGE
A10B,DF082 HIGH SYSTEM VOLTAGE
A10D,DF083 MINIMUM VOLTAGE
A1A1,DF094 HARDWARE
C010,DF092 COMMUNICATION CAN
C300,DF090 DEFECTIVE ENCODER
C416,DF089 ESP FUNCTION
C429,DF093 STEERING ANGLE OFFSET
C452,DF088 ACCELERATION DURATION
D60E,DF043 INTERNAL FAULT 
