9303,DF113 DIGITAL RADIO ANTENNA
9309,System ON
9311,Rear Left Loudspeaker
9315,DF006 AMPLIFIER FM1
9317,subwoofer
9321,Front Right Tweeter
9322,Front Left Tweeter
9324,DF065 GPS ANTENNA CIRCUIT
9328,DF056 MICROPHONE
9332,External Aux IN
9341,DF033 CONTROL UNIT
9342,DF046 MODULE LOCKED
9343,DF032 CONTROL UNIT
9347,DF044 BLUETOOTH MODULE
9350,DF034 CONTROL UNIT
9351,DF066 CONTROL UNIT
9353,ECU AM/FM tuner
9355,ECU DAB tuner
9356,ECU DSP
9358,ECU CD drive disc
93000,DF059 SCREEN
930B,Rear Right Loudspeaker
930D,DF001 FRONT RIGHT SPEAKER
930F,DF002 FRONT LEFT SPEAKER
932A,External USB
933E,Common USB power supply
935C,ECU CD drive mechanism
93CF,DF071 BUTTON BLOCKED
93F0,DF039 BATTERY VOLTAGE 12 V 
