9380,ECU Wifi module
AE00,DF014 BATTERY VOLTAGE 12V
AE01,DF083 INTERNAL BATTERY FAILURE
AE04,Internal Battery Capacity
AE05,DF067 AIRBAG MULTIPLEX SIGNAL
AE06,DF032 ACCESSORIES ENTRANCE
AE08,DF061 MICROPHONE
AE09,DF058 RED LED
AE0A,DF063 GREEN LED
AE0B,DF064 AUTO LED
AE0C,DF065 BACKLIGHT LED
AE0D,DF041 ASSIST BUTTON
AE0E,DF001 CONTROL UNIT
AE0F,DF031 GPS COMMUNICATION ERROR
AE10,MIC OUT SIGNAL
AE11,DF079 OVERHEATING IN CONTROL UNIT
AE12,DF006 CONTROL UNIT CONFIGURATION
AE13,HU/NAVI USB
AE14,DF018 SMS ERROR
AE15,DF084 VOICE COMMUNICATION
AE16,DF016 ERROR IN COMMUNICATION PROTOCOL
AE17,DF085 TELEMATIC DEVICE AUTHENTICATION NOT AVAILABLE
AE18,DF086 SERVER NOT AVAILABLE
AE19,DF087 SENSOR CONFIGURATION
AE1A,Internal failure - RTC
AE1B,eCall Software failure/Automatic eCall Locked
AE21,DF088 INVALID TELEMATICS DEVICE
AE22,DF056 SIM CARD
AE23,DF089 GSM NETWORK REGISTRATION REJECTED
AE24,CEP Certificate Expired
AE25,CEP Certificate Revoked
AE26,CEP Bad Certificate
AE27,CEP Certificate Unsupported
AE28,CEP Certificate Unknown
AE29,CEP ILLEGAL PARAMETERS
AE30,CEP Unknown
AE31,DF060 WATCH
AE32,Audio Head Unit Failure
AE33,DF045 SPEAKER
AE34,DF044 GSM ANTENNA CIRCUIT
AE35,DF057 GPS ANTENNA
AE36,Accelerometer Failure
AE37,airbag hard wire malfunction
AE38,DF090 INVALID GENERAL SERVER AUTHENTICATION
AE39,DF091 INVALID LOCAL SERVER AUTHENTICATION
AE3A,DF092 GENERAL SERVER AUTHENTICATION UNAVAILABLE
AE3B,DF093 LOCAL SERVER AUTHENTICATION UNAVAILABLE
AE3C,DF082 PART INDEX
AE3D,DF094 TELEMATICS AND VIN DO NOT MATCH
AE3E,DF095 CERTIFICATE NOT AVAILABLE
AE3F,DF096 FAILED TO VALIDATE CERTIFICATE
AE40,DF097 ERROR REGISTERING CERTIFICATE
AE41,DF098 INVALID TELEMATICS DEVICE AUTHENTICATION
AE42,DF099 CONTROL UNIT CONFIGURATION NOT FOUND
AE43,DF100 INVALID CONTROL UNIT CONFIGURATION
AE44,DF101 ERROR SAVING CONTROL UNIT CONFIGURATION
AE45,DF102 PARTITION SETTING OF TELEMATICS DEVICE NOT FOUND
AE46,DF103 INVALID PARTITION SETTING OF TELEMATICS
AE47,DF104 ERROR SAVING PARTITION SETTING
AE48,DF105 SERVICE VERIFICATION ERROR
AE49,DF106 REMOTE MANAGEMENT LOCKED
AE4A,Remote Actuator service activated without ciphering key
AE4B,DF107 REMOTE MANAGEMENT WITHOUT ENCRYPTION KEY
AE4C,DF108 REMOTE MANAGEMENT - SERVICE NOT KNOWN
AE4E,DF109 REMOTE MANAGEMENT - PIN CODE MISSING
AE4F,BCM pairing DTC
AE50,DF030 GSM COMMUNICATION ERROR
AE51,DF017 SERVER COMMUNICATION ERROR
AE52,DF119 OUTPUT LED
AE53,DF118 BUTTON ERROR
AE60,Remote Actuator - Cipher Key Writing failure
AE61,Remote Actuator - Cipher Key not written
AE94,RELAYControl
C074,CAN-M Failure
C079,CAN-V Failure
E118,Lost communication with Hand Free Module
E140,Lost communication with Electronic Control Motor
E141,Lost communication with automatic transmission
E143,Lost communication with Hybrid Electric Vehicle Control
E144,Lost communication with Lithium-ion Battery Controller
E148 Lost communication with Electronic Stability Control
E14E,Lost communication with Cluster
E14F,Lost communication with Body Control Module
E150,Lost communication with Airbag Control Unit
E153,Lost communication with Climate Control
E157,Lost communication with DC to DC Converter Control Module
E159,Lost communication with Electric Powered Steering
E15B,Lost communication with Underhood Switching Module 
