9562,AUTO_CLUTCHSTART_SW
923A,BATTERY
9266,BATTERY_CURRENT_SENSOR
9570,BCM_APV_CODE
9561,CLUTCH_END_SW
9560,CLUTCHSTART_SW
9530,DI_LEFT
9528,DI_LEFT_LED
9531,DI_RIGHT
9529,DI_RIGHT_LED
9568,DONGLE_DEVICE
9505,DRIVER_DOOR
9582,EEPROM
9504,EXTERNAL_ANTENNA
A0BD,I_CURRENT_SENSOR
A0BE,I_TEMP_SENSOR
9571,INFO_STOP
9572,INFO_STOP_AEBS
95F1,LIN_DEVICE
920F,NETWORK_14V
9519,NEUTRAL_CONTACT_SW
9540,PWM_ROOMLAMP_1
9510,PWR_BPT
9514,PWR_DOORLOCK
9513,PWR_FLASHERS
9511,PWR_FR_WIPER
9512,PWR_RR_WIPER
95B2,REAR_GEAR_SW
95A0,REAR_WIPER
9502,REGISTERS
9501,ROM
9520,STARTER_RL
9563,STOP_PEDAL_DFT_11
9564,STOP_PEDAL_DFT_12
9566,STOP_PEDAL_SW1
9565,STOP_PEDAL_SW2
9533,TAILGATE_COHERENT
9532,TGATE_OPENER
5A80,TPMS_Function
5A86,TPMS_RECEIVER
5A60,TPMS_UNDER_INFLATED
5A82,TPMS_VALVE_1
5A83,TPMS_VALVE_2
5A84,TPMS_VALVE_3
5A85,TPMS_VALVE_4
5A72,TPMS_WHEEL_1
5A73,TPMS_WHEEL_2
5A74,TPMS_WHEEL_3
5A75,TPMS_WHEEL_4
9567,TRACKER_DEVICE
95F0,TRANSPONDER
9550,WL_CENTAL_CLOSE
