#Frame ID,interval ZOE, interval FLUKAN, Sending ECU
767,100,100,Navigation-UCC-ITM
7A5,100,100,INSULATOR
765,100,100,UCH
734,100,100,MIU
7BB,100,100,LBC (EV)
18DAF1D2,100,100,S-GW3
764,100,100,HVAC
763,100,100,TDB
7E9,100,100,AT
76D,100,100,UPC-EMM
7E8,100,100,ECM
7EC,100,100,(H) EVC
793,100,100,BCB
7DD,100,100,FCAM
732,100,100,Audio
772,100,100,Airbag-SRS
7D7,100,100,CSHV Airbag Vehicle stopped
739,100,100,VCCU
7DA,100,100,DCM Renault
760,100,100,ABS-VDC
761,100,100,VSP
7AD,100,100,WCGS
762,100,100,EPS
77D,100,100,ACC
76B,100,100,TCU
77E,100,100,PEB
7C8,100,100,PLC-PLGW
7BD,100,100,SCU
7A2,100,100,AAU
