AF08,ALARM_VOLUMETRIC
AC55,ASSIST_DEFROSTER
AFAC,AUTO_ACC_RL
AC3B,AUTO_MIRROR_RL
AF04,BCM_APV_CODE
E150,CAN_ACU
E152,CAN_ADAS
E13D,CAN_ADB
E114,CAN_ANC
E141,CAN_ATCU
E025,CAN_AUDIO_AMP
C073,CAN_BCM
E18B,CAN_BMS_12V
E18C,CAN_CGW
E181,CAN_CPLC
E17C,CAN_DSMU
E18F,CAN_DSU
E112,CAN_EBA
E140,CAN_ECM
E155,CAN_EPKB
E188,CAN_EVAP
E16B,CAN_FR_CAMERA
E143,CAN_HEVC
E118,CAN_HFM
E153,CAN_HVAC
E154,CAN_IVI
E14E,CAN_METER
E169,CAN_PBD
E16D,CAN_TCU
E15B,CAN_USM
E148,CAN_VDC
AF03,CHILDLOCK
AC39,CHILDLOCK_WL_RL
AF74,CLUTCH_END_SW
AF73,CLUTCH_START_SW
AC95,COMBI_SWITCH
AC91,DI_FR_SR_LEFT
AC90,DI_FR_SR_RIGHT
AC93,DI_RR_LEFT
AC92,DI_RR_RIGHT
AF00,DONGLE
AC40,DPC
AC54,DRIVER_DEFROSTER
AF09,DRIVER_DOOR
AC21,DRIVER_SEAT_BELT
AF60,DRIVER_SEAT_BELT_CONF
AFAA,EEPROM
AF02,ETA
AC99,FOG_LAMP
AC41,IFLW
AC42,IFRW
AFAE,IGN_CAB_RL
AFAF,IGN_OFFLOAD1_RL
AFB0,IGN_OFFLOAD2_RL
AC43,IRLW
AC44,IRRW
AC76,LCM01
AC77,LCM02
AC78,LCM03
AC79,LCM04
AC7A,LCM05
AC7B,LCM06
AC7C,LCM07
AC7D,LCM08
AC7E,LCM09
AC7F,LCM10
AC80,LCM11
AC81,LCM12
AC96,LIGHT_SENSOR
DC01,LIN_ACCESS
DC03,LIN_AMBIANT
DC02,LIN_DOOR
DC00,LIN_RLS
ACB0,MASTER_MOTOR
ACB3,MOTOR_COMM
ACCF,PMU
AC50,PTC1_RL
AC51,PTC2_RL
AC52,PTC3_RL
AC70,PWM_ROOMLAMP_1
AC71,PWM_ROOMLAMP_2
AC72,PWM_ROOMLAMP_3
AC73,PWM_ROOMLAMP_4
AC74,PWM_ROOMLAMP_5
AC75,PWM_ROOMLAMP_6
AFA9,PWR_AT_LOCKED
AFA8,PWR_AUTO_LIGHT
AFA6,PWR_DOORLOCK1
AFA7,PWR_DOORLOCK2
AFAB,PWR_ECU
AFA4,PWR_FLASHERS
AFA5,PWR_STOP_LAMP
AFA3,PWR_WIPER
ACB4,RAIN_SENSOR
AFA2,RAM
AC53,REAR_DEFROSTER
ACB5,REAR_WIPER
AFA0,REGISTERS
AFA1,ROM
AFAD,ROOMLAMP_BATSAVER_RL
AF07,SAFETY_LINE_ESCL
AC22,SHIFTLOCK_RL
ACB1,SLAVE_MOTOR
AF99,SRU
AFB1,SSM
AF98,SSU
AC20,ST_CUT_RELAY
AC9A,STOP_LAMP_1_OR_2
AC9B,STOP_LAMP_3
AF70,STOP_PEDAL
AF71,STOP_PEDAL_SW1
AF72,STOP_PEDAL_SW2
AF06,TAILGATE_OPENER
5741,TPMS_COMM_SENSOR_1
5742,TPMS_COMM_SENSOR_2
5743,TPMS_COMM_SENSOR_3
5744,TPMS_COMM_SENSOR_4
5700,TPMS_FUNCTION
5731,TPMS_SENSOR_1
5732,TPMS_SENSOR_2
5733,TPMS_SENSOR_3
5734,TPMS_SENSOR_4
5711,TPMS_WHEEL_1
5712,TPMS_WHEEL_2
5713,TPMS_WHEEL_3
5714,TPMS_WHEEL_4
AC98,TRAILER_DI_LEFT
AC97,TRAILER_DI_RIGHT
AF05,TRANSPONDER
ACB2,WIPER_TEACHIN
AC38,WL_AUTHORIZATION_RL
AC45,WL_CENTRAL_CLOSE_RL
