,765,0,0,1,0,0,,1001,5001,ff,StartDiagnosticSession.DefaultSession
,765,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.ProgrammingSession
,765,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.ExtendedDiagnosticSession
,765,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All
,765,16,23,1,0,0,,1901FF,5901FF,ff,DTCStatusAvailabilityMask
,765,24,31,1,0,0,,1901FF,5901FF,ff,DTCFormatIdentifier
,765,32,47,1,0,0,,1901FF,5901FF,ff,DTCCount
,765,16,23,1,0,0,,1902FF,5902FF,ff,DTCStatusAvailabilityMask
,765,24,39,1,0,0,,1902FF,5902FF,ff,DTCDeviceIdentifier,44808:ALARM_VOLUMETRIC;44117:ASSIST_DEFROSTER;44972:AUTO_ACC_RL;44091:AUTO_MIRROR_RL;44804:BCM_APV_CODE;57680:CAN_ACU;57682:CAN_ADAS;57661:CAN_ADB;57620:CAN_ANC;57665:CAN_ATCU;57381:CAN_AUDIO_AMP;49267:CAN_BCM;57739:CAN_BMS_12V;57740:CAN_CGW;57729:CAN_CPLC;57724:CAN_DSMU;57743:CAN_DSU;57618:CAN_EBA;57664:CAN_ECM;57685:CAN_EPKB;57736:CAN_EVAP;57707:CAN_FR_CAMERA;57667:CAN_HEVC;57624:CAN_HFM;57683:CAN_HVAC;57684:CAN_IVI;57678:CAN_METER;57705:CAN_PBD;57709:CAN_TCU;57691:CAN_USM;57672:CAN_VDC;44803:CHILDLOCK;44089:CHILDLOCK_WL_RL;44916:CLUTCH_END_SW;44915:CLUTCH_START_SW;44181:COMBI_SWITCH;44177:DI_FR_SR_LEFT;44176:DI_FR_SR_RIGHT;44179:DI_RR_LEFT;44178:DI_RR_RIGHT;44800:DONGLE;44096:DPC;44116:DRIVER_DEFROSTER;44809:DRIVER_DOOR;44065:DRIVER_SEAT_BELT;44896:DRIVER_SEAT_BELT_CONF;44970:EEPROM;44802:ETA;44185:FOG_LAMP;44097:IFLW;44098:IFRW;44974:IGN_CAB_RL;44975:IGN_OFFLOAD1_RL;44976:IGN_OFFLOAD2_RL;44099:IRLW;44100:IRRW;44150:LCM01;44151:LCM02;44152:LCM03;44153:LCM04;44154:LCM05;44155:LCM06;44156:LCM07;44157:LCM08;44158:LCM09;44159:LCM10;44160:LCM11;44161:LCM12;44182:LIGHT_SENSOR;56321:LIN_ACCESS;56323:LIN_AMBIANT;56322:LIN_DOOR;56320:LIN_RLS;44208:MASTER_MOTOR;44211:MOTOR_COMM;44239:PMU;44112:PTC1_RL;44113:PTC2_RL;44114:PTC3_RL;44144:PWM_ROOMLAMP_1;44145:PWM_ROOMLAMP_2;44146:PWM_ROOMLAMP_3;44147:PWM_ROOMLAMP_4;44148:PWM_ROOMLAMP_5;44149:PWM_ROOMLAMP_6;44969:PWR_AT_LOCKED;44968:PWR_AUTO_LIGHT;44966:PWR_DOORLOCK1;44967:PWR_DOORLOCK2;44971:PWR_ECU;44964:PWR_FLASHERS;44965:PWR_STOP_LAMP;44963:PWR_WIPER;44212:RAIN_SENSOR;44962:RAM;44115:REAR_DEFROSTER;44213:REAR_WIPER;44960:REGISTERS;44961:ROM;44973:ROOMLAMP_BATSAVER_RL;44807:SAFETY_LINE_ESCL;44066:SHIFTLOCK_RL;44209:SLAVE_MOTOR;44953:SRU;44977:SSM;44952:SSU;44064:ST_CUT_RELAY;44186:STOP_LAMP_1_OR_2;44187:STOP_LAMP_3;44912:STOP_PEDAL;44913:STOP_PEDAL_SW1;44914:STOP_PEDAL_SW2;44806:TAILGATE_OPENER;22337:TPMS_COMM_SENSOR_1;22338:TPMS_COMM_SENSOR_2;22339:TPMS_COMM_SENSOR_3;22340:TPMS_COMM_SENSOR_4;22272:TPMS_FUNCTION;22321:TPMS_SENSOR_1;22322:TPMS_SENSOR_2;22323:TPMS_SENSOR_3;22324:TPMS_SENSOR_4;22289:TPMS_WHEEL_1;22290:TPMS_WHEEL_2;22291:TPMS_WHEEL_3;22292:TPMS_WHEEL_4;44184:TRAILER_DI_LEFT;44183:TRAILER_DI_RIGHT;44805:TRANSPONDER;44210:WIPER_TEACHIN;44088:WL_AUTHORIZATION_RL;44101:WL_CENTRAL_CLOSE_RL
,765,40,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType,68:data memory failure;98:signal compare failure;99:circuit / component protection time-out;100:signal plausibility failure;101:signal has too few transitions / events;97:signal calculation failure;103:signal incorrect after event;81:not programmed;113:actuator stuck;114:actuator stuck open;69:program memory failure;85:not configured;84:missing calibration;82:not activated;75:over temperature;74:incorrect component installed;73:internal electronic failure;72:supervision software failure;71:watchdog / safety µC failure;70:calibration / parameter memory failure;115:actuator stuck closed;135:missing message;83:deactivated;67:special memory failure;152:component or system over temperature;151:Component or system operation obstructed or blocked;150:component internal failure;149:incorrect assembly;148:unexpected operation;147:no operation;146:performance or incorrect operation;145:parametric;143:erratic;136:bus off;133:signal above allowable range;134:signal invalid;116:actuator slipping;132:signal below allowable range;131:value of signal protection calculation incorrect;130:alive / sequence counter incorrect / not updated;129:invalid serial data received;123:low fluid level;122:fluid leak or seal failure;121:mechanical linkage failure;120:alignment or adjustment incorrect;119:commanded position not reachable;118:wrong mounting position;117:emergency position not reachable;102:signal has too many transitions / events;15:Vehicle manufacturer / System supplier specific;27:circuit resistance above threshold;26:circuit resistance below threshold;25:circuit current above threshold;24:circuit current below threshold;23:circuit voltage above threshold;22:circuit voltage below threshold;21:circuit short to battery or open;20:circuit short to ground or open;19:circuit open;28:circuit voltage out of range;17:circuit short to ground;9:Component Failures;8:Bus Signal / Message Failures;6:Algorithm Based Failures;5:System Programming Failures;4:System Internal Failures;3:FM (Frequency Modulated) / PWM (Pulse Width Modulated) Failures;2:General signal failure;1:General Electrical Failure;0:Device and failure type ODB codding/ General Failure Information;66:general memory failure;104:event information;18:circuit short to battery;53:signal high time > maximum;65:general checksum failure;58:incorrect has too many pulses;7:Mechanical Failures;29:circuit current out of range;57:incorrect has too few pulses;56:signal frequency incorrect;54:signal frequency too low;52:signal high time < minimum;51:signal low time > maximum;50:signal low time < minimum;49:no signal;37:signal shape / waveform failure;33:signal amplitude < minimum;55:signal frequency too high;47:signal erratic;31:circuit intermittent;35:signal stuck low;36:signal stuck high;34:signal amplitude > maximum;30:circuit resistance out of range;38:signal rate of change below threshold;39:signal rate of change above threshold;40:signal bias level out of range / zero adjustment failure;41:signal signal invalid
,765,44,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType.ManufacturerOrSupplier
,765,48,48,1,0,0,,1902FF,5902FF,ff,DTCStatus.warningIndicatorRequested,0:No;1:Yes
,765,49,49,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedThisMonitoringCycle,0:No;1:Yes
,765,50,50,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedSinceLastClear,0:No;1:Yes
,765,51,51,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedSinceLastClear,0:No;1:Yes
,765,52,52,1,0,0,,1902FF,5902FF,ff,DTCStatus.confirmedDTC,0:No;1:Yes
,765,53,53,1,0,0,,1902FF,5902FF,ff,DTCStatus.pendingDTC,0:No;1:Yes
,765,54,54,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedThisMonitoringCycle,0:No;1:Yes
