A0B5,2ND_SIGNAL_GROUND
A0C7,AC_Clutch
A0C8,AC_valve
E141,AT_Communication Failure
922D,Auto_Stop_Wiper
923A,BATTERY
E14F,BCM_Communication Failure
D000,CAN_failure
C073,CAN_failure_BUS_OFF
E112,EBA_Communication Failure
E140,ECM_Communication Failure
E159,EPS_Communication Failure
A0B4,FL_BAT_1
A0B6,FL_BAT_2
E143,HEVC_Communication_Failure
E153,HVAC_Communication Failure
A0BD,I_CURRENT_SENSOR
9C01,I_HEIGHT_FRONT
9C02,I_HEIGHT_REAR
922F,I_LIGHT_REVERSE_SW
A0BE,I_TEMP_SENSOR
92A4,IBS
E004,IDM_Communication Failure
A0DE,IGN_RLY_ON_OFF_STUCK
A0DD,IGN_RLY_ON_STUCK
921F,IGNITION
E154,IVI_Communication Failure
A0DB,Levellizer_app_conf
9C11,Levellizer_front_sensor
9C10,Levellizer_MANUAL_SW
9C12,Levellizer_rear_sensor
92A0,LI_HOOD_SW
A0E2,LI_LED_Detection_1
A0E3,LI_LED_Detection_2
922E,LI_NEUTRAL_SW
922C,LI_OIL_PRESSURE_SW
A0BF,LI_STARTER_SWITCH1
A0C0,LI_STARTER_SWITCH2
9272,LIGHTS
92A2,LO_FAN_RELAY1
9240,LO_FAN_RELAY2_PWM
921C,LO_WASHER
E166,MBL_Communication Failure
E14E,METER_ Communication Failure
920F,NETWORK_14V
A0A3,O_ACTUATOR_5
A0A1,O_ACTUATOR_ON
A0D8,O_FBL_LH
A0D9,O_FBL_RH
A0B2,O_FR_WIPER
92A3,O_FUEL_PUMP
9C00,O_HEIGHT_SENSOR_SUPPLY
921D,O_IGN_NOT_COLUMN_LOCK
9C07,O_LEVELIZER_DC_MOTOR
A0D2,O_LIGHT_CLEARANCE_FR_RH_LH
A0CB,O_LIGHT_DTRL_LH
9231,O_LIGHT_DTRL_RH
921A,O_LIGHT_FR_FOG_LAMPS_LH
9256,O_LIGHT_FR_FOG_LAMPS_RH
A0CE,O_LIGHT_HBEAM_LH
A0CF,O_LIGHT_HBEAM_RH
A0D0,O_LIGHT_LBEAM_LH
A0D1,O_LIGHT_LBEAM_RH
A0D5,O_LIGHT_LICENCE_PLATE
A0D4,O_LIGHT_POSITION_REAR_LH_RH
9230,O_STARTER
A0D7,SIGNAL GND
9299,SS_STARTER_RELAY
A0A9,Starter_RLY_External Failure_OC
A0A8,Starter_RLY_External Failure_undervoltage
A0DF,Starter_RLY_OFF
A10D,Starter_RLY_ON
929A,TRAILER_RELAY
920E,USM_ECU failure
E10B,VADA_Communication Failure
E148,VDC_Communication Failure
