920E,ECU failure
920F,BSS
9212,Low beam LH
9216,AC clutch
9217,FR wiper
921C,H/L Washer
921D,Ignition Not column lock
9223,Ignition Reverse SW
9226,Battery ABS valves
9211,USM supply Batt Pre BDU
9224,Ignition EPS RWD
9227,Battery AT GEAR LPG
922C,Oil Pressure SW
922D,Auto Stop Wiper
922E,Neutral SW
922F,Reverse SW
9230,Starter
9235,Batt 1 Pos BDU
9236,Batt 2 Pos BDU
9237,Ac Valve
9213,Low beam RH
9222,Ignition LCS Cabin
9221,Ignition AT LPG
9220,Ignition AIRBAG Safetyline
921E,Ignition ECM
9229,Batt Motor FAN LO
9238,LO_EXTERNAL_FAN_RELAY_1
9240,LO_EXTERNAL_FAN_RELAY_2
9233,LO_EXTERNAL_FAN_RELAY_3
921F,Ignition
923A,BATTERY
9239,BDU
922A,PCS BDU
9260,MASTERVAC
9261,DRIVERSEAT
9262,BUTTON_SW
9263,VS1
9264,VS2
9265,LED
9266,BCS
9268,ESM
9231,O_LIGHT_DTRL_RH
9241,O_LIGHT_DTRL_LH
9256,O_LIGHT_FR_FOG_LAMPS_RH
921A,O_LIGHT_FR_FOG_LAMPS_LH
9255,SEC_SIGNAL_GND
9252,SIGNAL_GND
9214,O_LIGHT_POSITION_REAR_LH
9215,O_LIGHT_POSITION_FR_RH_LH
9257,O_LIGHT_POSITION_REAR_RH_PLATE
9258,O_LIGHT_POSITION_NIGHT
9269,Water_Pump
9218,High Beam LH
9219,High Beam RH
9270,2ndeCompression
9271,ECU
9272,Lights
9267,StopStart
