5012,FC_WHEELSPEED_FAULT
5033,FC_VOLTAGE
5003,FC_ELECTRONIC_ECU
5001,FC_ACTUATOR_LEFT
5000,FC_ACTUATOR_RIGHT
5030,FC_ASSEMBLY_CHECK_NOT_DONE
5032,FC_MAX_BRAKING
5009,FC_BRAKE_STATE_UNKNOWN
5002,FC_EPB_SWITCH
5004,FC_BRAKE_INCOHERENT
5013,FC_INTERSYSTEM_VDC
5014,FC_INTERSYSTEM_ECM
5015,FC_INTERSYSTEM_BCM
5016,FC_INTERSYSTEM_ATCU
5017,FC_INTERSYSTEM_USM
5018,FC_INTERSYSTEM_METER
5019,FC_INTERSYSTEM_IDM
5023,FC_INTERSYSTEM_CAN
E140,Lost Communication with ECM
E14E,Lost Communication with METER
E148,Lost Communication with VDC
E141,Lost Communication with ATCU
E14F,Lost Communication with BCM
E15B,Lost Communication with USM
E176,Lost Communication with IDM
5006,FC_UNKNOWN_DTC
