,18DAF1E2,0,0,1,0,0,,1000,5000,ff,StartDiagnosticSession.Start Diagnostic Session
,18DAF1E2,8,15,1,0,0,,1001,5001,ff,StartDiagnosticSession.ResponseType,129:Yes
,18DAF1E2,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.Start Programming Session
,18DAF1E2,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.Start Extended Session
,18DAF1E2,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All
,18DAF1E2,16,23,1,0,0,,190109,590109,ff,DTCStatusAvailabilityMask
,18DAF1E2,24,31,1,0,0,,190109,590109,ff,DTCFormatIdentifier,0:SAE_J2012-DA_DTC;1:ISO_14229-1_DTC;2:SAE_J1939-73_DTC;3:ISO_11992-4_DTC;4:SAE_J2012-DA_WWHOBD_DTC
,18DAF1E2,32,47,1,0,0,,190109,590109,ff,DTCCount
,18DAF1E2,16,23,1,0,0,,190201,590201,ff,DTCStatusAvailabilityMask
,18DAF1E2,24,39,1,0,0,,190201,590201,ff,DTCDeviceIdentifier,22753:Actuation Control;22759:Battery Voltage;22754:Battery Voltage compliance;22770:Activation switch EDLC;22756:CAN Chassis Bus off;22758:CAN register;22757:CAN V1 Bus OFF;22772:BCM CAN Failure;22760:Current consumption in EDLC Mode in Failure;22762:Driver Brake Wish Not Detectable;22766:DTS Sensor;22777:CRBS failure;22778:EBA Calibration Failure;22780:EBA Temperature Sensor 1 Failure;22781:EBA Temperature Sensor 2 Failure;22776:ECM CAN Failure;22761:ECU failure;22779:ECU Failure 1;22782:EBA Temperature Sensors Failure;22741:EDLC Failure Backup circuit error;22743:EDLC Failure B-IN circuit and monitor circuit error;22748:EDLC Failure Capacitor degrading error;22740:EDLC Failure Cell short or overvoltage error;22737:EDLC Failure Charging circuit error;22746:EDLC Failure Charging control circuit error;22738:EDLC Failure Discharging circuit open error;22739:EDLC Failure Discharging circuit short error;22745:EDLC Failure Insulation error;22744:EDLC Failure microcomputer error;22736:EDLC Failure overvoltage;22747:EDLC Failure Thermister circuit error;22749:EDLC Failure Vref circuit error;22742:EDLC Failure Wakeup circuit error;22763:EDLC Voltage monitoring;22755:External Brake in failure;22774:HEVC CAN Failure;22750:LIN Communication EDLC Failure;22783:ECU Failure 2;57679:Lost Communication with BCM on Chassis CAN;57691:Lost Communication with USM on Chassis CAN;57664:Loste communication with ECM on Chassis CAN;57667:Loste communication with HEVC on Chassis CAN;57672:Loste communication with VDC on Chassis CAN;22765:Motor Power supply in failure;22764:Position sensor plausibility in failure;22767:RPS Sensor;22751:RunOut in Failure;22769:standalone mode;22768:Supply Line EDLC;22771:Thermal failure;22773:USM CAN Failure;22775:VDC CAN Failure;57928:Lost Communication with VDC on Vehicle CAN
,18DAF1E2,40,43,1,0,0,,190201,590201,ff,DTCFailureType.Category,0:General Failure Information;1:General Electrical Failures;2:General Signal Failures;3:FM (Freq Mod) / PWM (Pulse Width Mod) Failures;4:System Internal Failures;5:System Programming Failures;6:Algorithm Based Failures;7:Mechanical Failures;8:Bus Signal / Message Failures;9:Component Failures;15:Vehicle manufacturer / System supplier specific
,18DAF1E2,44,47,1,0,0,,190201,590201,ff,DTCFailureType.ManufacturerOrSupplier
,18DAF1E2,48,55,1,0,0,,190201,590201,ff,StatusOfDTC
,18DAF1E2,49,49,1,0,0,,190201,590201,ff,DTCStatus.testNotCompletedThisMonitoringCycle,0:No;1:Yes
,18DAF1E2,50,50,1,0,0,,190201,590201,ff,DTCStatus.testFailedSinceLastClear,0:No;1:Yes
,18DAF1E2,51,51,1,0,0,,190201,590201,ff,DTCStatus.testNotCompletedSinceLastClear,0:No;1:Yes
,18DAF1E2,52,52,1,0,0,,190201,590201,ff,DTCStatus.confirmedDTC,0:No;1:Yes
,18DAF1E2,53,53,1,0,0,,190201,590201,ff,DTCStatus.pendingDTC,0:No;1:Yes
,18DAF1E2,54,54,1,0,0,,190201,590201,ff,DTCStatus.testFailedThisMonitoringCycle,0:No;1:Yes
,18DAF1E2,55,55,1,0,0,,190201,590201,ff,DTCStatus.testFailed,0:No;1:Yes
,18DAF1E2,16,23,1,0,0,,190209,590209,ff,DTCStatusAvailabilityMask
,18DAF1E2,24,39,1,0,0,,190209,590209,ff,DTCDeviceIdentifier,22753:Actuation Control;22759:Battery Voltage;22754:Battery Voltage compliance;22770:Activation switch EDLC;22756:CAN Chassis Bus off;22758:CAN register;22757:CAN V1 Bus OFF;22772:BCM CAN Failure;22760:Current consumption in EDLC Mode in Failure;22762:Driver Brake Wish Not Detectable;22766:DTS Sensor;22777:CRBS failure;22778:EBA Calibration Failure;22780:EBA Temperature Sensor 1 Failure;22781:EBA Temperature Sensor 2 Failure;22776:ECM CAN Failure;22761:ECU failure;22779:ECU Failure 1;22782:EBA Temperature Sensors Failure;22741:EDLC Failure Backup circuit error;22743:EDLC Failure B-IN circuit and monitor circuit error;22748:EDLC Failure Capacitor degrading error;22740:EDLC Failure Cell short or overvoltage error;22737:EDLC Failure Charging circuit error;22746:EDLC Failure Charging control circuit error;22738:EDLC Failure Discharging circuit open error;22739:EDLC Failure Discharging circuit short error;22745:EDLC Failure Insulation error;22744:EDLC Failure microcomputer error;22736:EDLC Failure overvoltage;22747:EDLC Failure Thermister circuit error;22749:EDLC Failure Vref circuit error;22742:EDLC Failure Wakeup circuit error;22763:EDLC Voltage monitoring;22755:External Brake in failure;22774:HEVC CAN Failure;22750:LIN Communication EDLC Failure;22783:ECU Failure 2;57679:Lost Communication with BCM on Chassis CAN;57691:Lost Communication with USM on Chassis CAN;57664:Loste communication with ECM on Chassis CAN;57667:Loste communication with HEVC on Chassis CAN;57672:Loste communication with VDC on Chassis CAN;22765:Motor Power supply in failure;22764:Position sensor plausibility in failure;22767:RPS Sensor;22751:RunOut in Failure;22769:standalone mode;22768:Supply Line EDLC;22771:Thermal failure;22773:USM CAN Failure;22775:VDC CAN Failure;57928:Lost Communication with VDC on Vehicle CAN
,18DAF1E2,40,43,1,0,0,,190209,590209,ff,DTCFailureType.Category,0:General Failure Information;1:General Electrical Failures;2:General Signal Failures;3:FM (Freq Mod) / PWM (Pulse Width Mod) Failures;4:System Internal Failures;5:System Programming Failures;6:Algorithm Based Failures;7:Mechanical Failures;8:Bus Signal / Message Failures;9:Component Failures;15:Vehicle manufacturer / System supplier specific
,18DAF1E2,44,47,1,0,0,,190209,590209,ff,DTCFailureType.ManufacturerOrSupplier
,18DAF1E2,48,55,1,0,0,,190209,590209,ff,StatusOfDTC
,18DAF1E2,49,49,1,0,0,,190209,590209,ff,DTCStatus.testNotCompletedThisMonitoringCycle,0:No;1:Yes
,18DAF1E2,50,50,1,0,0,,190209,590209,ff,DTCStatus.testFailedSinceLastClear,0:No;1:Yes
,18DAF1E2,51,51,1,0,0,,190209,590209,ff,DTCStatus.testNotCompletedSinceLastClear,0:No;1:Yes
,18DAF1E2,52,52,1,0,0,,190209,590209,ff,DTCStatus.confirmedDTC,0:No;1:Yes
,18DAF1E2,53,53,1,0,0,,190209,590209,ff,DTCStatus.pendingDTC,0:No;1:Yes
,18DAF1E2,54,54,1,0,0,,190209,590209,ff,DTCStatus.testFailedThisMonitoringCycle,0:No;1:Yes
,18DAF1E2,55,55,1,0,0,,190209,590209,ff,DTCStatus.testFailed,0:No;1:Yes
,18DAF1E2,0,0,1,0,0,,1903000000FF,5903000000FF,ff,ReadDTCInformation.ReportDTCSnapshotIdentification
,18DAF1E2,16,39,1,0,0,,1904000000FF,5904000000FF,4ff,DTCRecord
,18DAF1E2,40,47,1,0,0,,1904000000FF,5904000000FF,ff,StatusOfDTC
,18DAF1E2,16,39,1,0,0,,190600000080,590600000080,4ff,DTCRecord
,18DAF1E2,40,47,1,0,0,,190600000080,590600000080,ff,StatusOfDTC
,18DAF1E2,48,55,1,0,0,,190600000080,590600000080,ff,DTCExtendedDataRecordNumber,128:Mileage;129:AgingCounter;130:DTCOccurrenceCounter;132:DTCOccurrenceCounter_2;133:DTCLastDiseappearMileage;134:DTCTravelledDistanceFailurePresent;135:DTCFirstAppearMileage;136:IUPR numerator;137:IUPR denominator
,18DAF1E2,56,79,1,0,0,km,190600000080,590600000080,ff,DTCExtendedData.Mileage
,18DAF1E2,16,39,1,0,0,,190600000081,590600000081,4ff,DTCRecord
