,18DAF1DB,0,0,1,0,0,,1001,5001,ff,StartDiagnosticSession.Default
,18DAF1DB,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.Programming
,18DAF1DB,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.ExtendedDiagnostic
,18DAF1DB,0,0,1,0,0,,1060,5060,ff,StartDiagnosticSession.Supplier
,18DAF1DB,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All
,18DAF1DB,16,23,1,0,0,,1901FF,5901FF,ff,DTCStatusAvailabilityMask
,18DAF1DB,24,31,1,0,0,,1901FF,5901FF,ff,DTCFormatIdentifier,0:SAE_J2012-DA_DTC;1:ISO_14229-1_DTC;2:SAE_J1939-73_DTC;3:ISO_11992-4_DTC;4:SAE_J2012-DA_WWHOBD_DTC
,18DAF1DB,32,47,1,0,0,,1901FF,5901FF,ff,DTCCount
,18DAF1DB,16,23,1,0,0,,1902FF,5902FF,ff,DTCStatusAvailabilityMask
,18DAF1DB,24,39,1,0,0,,1902FF,5902FF,ff,DTCDeviceAndFailureTypeOBD,1:Current sensor internal error;4:HVMux diagnosis error (HVMuxSeq or HVMuxTestSource);6:GENERAL / Algorithm;8:Communication Failure (UART communication);17:half of thermistor in SCG. Performance is degraded;18:Cell Short circuit;19:Opened Cell;20:ELECTRICAL / SC Ground or Open;21:half thermistor in SCB or OC. Performance is degraded;22:LV Power Supply is too low;23:LV Power Supply is too high;25:Pack overcurrent;26:Insulation NOK (alert charge forbidden);28:ELECTRICAL / Voltage Out Of Range;30:Cell Wire Impendance Out of Range;33:Cell undervoltage derating;36:Power Off failure;49:No signal can be read from FAN;56:Internal 32kHz deviation;65:Error on Internal Memory (Main CPU);67:Communication failure with Flash memory;68:Corruption of datas;71:Corruption (checksum mechanism) on safety datas;73:ADC conversion error;81:PROGRAMMING / Not Programmed;98:1 thermistor in deviation (compare to other thermistors);129:Invalid data received on CAN Current sensor frames;135:Missing frame(s)  from CAN Current sensor;136:Bus OFF on CAN transceiver (Main CPU);146:COMPONENT / Performance;150:COMPONENT / Internal;152:Temp1 value is over the limit threshold;241:Cell overvoltage safety;242:Cell overdischarge;244:Temp1 value is under the limit threshold;249:Available Power is limited;251:Battery pack temperature is over the  functionnal threshold (derating);253:Current offset too high
