,763,0,0,1,0,0,,1001,5001,ff,StartDiagnosticSession.Default
,763,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.Reprog
,763,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.Extended
,763,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All
,763,16,23,1,0,0,,1901FF,5901FF,ff,DTCStatusAvailabilityMask
,763,24,31,1,0,0,,1901FF,5901FF,ff,DTCFormatIdentifier,0:SAE_J2012-DA_DTC;1:ISO_14229-1_DTC;2:SAE_J1939-73_DTC;3:ISO_11992-4_DTC;4:SAE_J2012-DA_WWHOBD_DTC
,763,32,47,1,0,0,,1901FF,5901FF,ff,DTCCount
,763,16,23,1,0,0,,1902FF,5902FF,ff,DTCStatusAvailabilityMask
,763,24,39,1,0,0,,1902FF,5902FF,ff,DTCDeviceAndFailureTypeOBD,37889:Oil level sensor monitoring;37890:Fuel gauge monitoring;37891:Brake fluid level;37892:Warning Airbag telltale monitoring;37896:SBR telltale command monitoring;37898:Parking Brake input;37899:Windscreen level input;37900:EEPROM monitoring;37904:Trip computer input(s);37905:Oil pressure input;37906:External temperature inputs;37907:Error Configuration;37908:Backlight Dimming level inputs monitoring;37909:High Side PWM outputs for backlight monitoring;37910:+ Batt PWM monitoring;37920:Alternator excitation input;37921:DynamicTacho Frame Loss;49153:BUS OFF CAN V;49192:BUS OFF CAN M;49408:Perte trame ECM;49409:Perte trame AT;49425:Perte trame USM;49426:Perte trame EMM;49441:Perte trame  ABS;49447:Perte trame TPMS;49448:Perte trame APB;49449:Perte trame  ESC;49457:Perte trame EPS;49458:Perte trame VADA;49460:Perte trame 4RD;49464:Perte trame 4x4 module;49472:Perte trame BCM;49489:Perte trame AIRBAG;49497:Perte trame UPA;49507:Perte trame BIC;49512:Perte trame HFM;49537:Perte trame LBCS;49538:Perte trame Camera;49559:Perte trame TCUEcall;49560:Perte trame TCU;49672:Perte trame RearSeat;49714:Perte trame BSW;49717:Perte trame ACC;49731:Perte trame HFP;49812:Perte trame EVC;61443:Power supply monitoring
,763,40,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType,0:Device and failure type ODB codding;1:General Electrical Failure;2:General signal failure;3:FM  / PWM Failures;4:System Internal Failures;5:System Programming Failures;6:Algorithm Based Failures;7:Mechanical Failures;8:Bus Signal / Message Failures;9:Component Failures;17:circuit short to ground;18:circuit short to battery;19:circuit open;20:circuit short to ground or open;21:circuit short to battery or open;22:circuit voltage below threshold;23:circuit voltage above threshold;24:circuit current below threshold;25:circuit current above threshold;26:circuit resistance below threshold;27:circuit resistance above threshold;28:circuit voltage out of range;29:circuit current out of range;30:circuit resistance out of range;31:circuit intermittent;33:signal amplitude < minimum;34:signal amplitude > maximum;35:signal stuck low;36:signal stuck high;37:signal shape / waveform failure;38:signal rate of change below threshold;39:signal rate of change above threshold;40:signal bias level out of range / zero adjt failure;41:signal signal invalid;47:signal erratic;49:no signal;50:signal low time < minimum;51:signal low time > maximum;52:signal high time < minimum;53:signal high time > maximum;54:signal frequency too low;55:signal frequency too high;56:signal frequency incorrect;57:incorrect has too few pulses;58:incorrect has too many pulses;65:general checksum failure;66:general memory failure;67:special memory failure;68:data memory failure;69:program memory failure;70:calibration / parameter memory failure;71:watchdog / safety µC failure;72:supervision software failure;73:internal electronic failure;74:incorrect component installed;75:over temperature;81:not programmed;82:not activated;83:deactivated;84:missing calibration;85:not configured;97:signal calculation failure;98:signal compare failure;99:circuit / component protection time-out;100:signal plausibility failure;101:signal has too few transitions / events;102:signal has too many transitions / events;103:signal incorrect after event;104:event information;113:actuator stuck;114:actuator stuck open;115:actuator stuck closed;116:actuator slipping;117:emergency position not reachable;118:wrong mounting position;119:commanded position not reachable;120:alignment or adjustment incorrect;121:mechanical linkage failure;122:fluid leak or seal failure;123:low fluid level;129:invalid serial data received;130:alive / sequence counter incorrect / not updated;131:value of signal protection calculation incorrect;132:signal below allowable range;133:signal above allowable range;134:signal invalid;135:missing message;136:bus off;143:erratic;145:parametric;146:performance or incorrect operation;147:no operation;148:unexpected operation;149:incorrect assembly;150:component internal failure;151:Component/system operation obstructed or blocked;152:component or system over temperature
,763,44,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType.ManufacturerOrSupplier,0:N/A
,763,48,48,1,0,0,,1902FF,5902FF,ff,DTCStatus.warningIndicatorRequested,0:No;1:Yes
,763,49,49,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedThisMonitoringCycle,0:No;1:Yes
,763,50,50,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedSinceLastClear,0:No;1:Yes
,763,51,51,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedSinceLastClear,0:No;1:Yes
