Electric Vehicle Controller,946,V;E,7ec,7e4,EVC,SCH,5902af
Telematics Control Unit,2152,V;M,7da,7ca,TCU,-,5902ff
Lithium Battery Controller,938,E,7bb,79b,LBC,-,59020f
Power Electronics Block,2092,E,77e,75a,PEB,-,5902ff
Airbag,756,V,772,752,AIBAG,AIRBAG,5902ff
U Safety Module,1337,V,76d,74d,USM,UPC;UCM,5902ff
Instrument panel,247,V;M,763,743,CLUSTER,BIC,5902ff
Electrical Power Steering,1232,V,762,742,EPS,PAS,5902ff
Electronic Stability Control,1094,V,760,740,ESC,ABS,5902ff
Uncoupled Braking Pedal,2197,V,7bc,79c,UBP,-,5902ff
Body Control Module,645,V;O,765,845,BCM,UCH,5902ff
Climate Control,419,V,764,744,CLIM,CLIMA;CLIMBOX,5902ff
Park Assist,1222,O,76e,74e,UPA,-,5902ff
Battery Connection Box,2093,E,793,792,BCB,-,5902ff;5902af
Lithium Battery Controller 2,938,E,7b6,796,LBC2,-,59020f
Tuner,261,M,0,0,,-,-
Joystick,1657,M,0,0,,-,-
R-Link,1127,M,0,0,,-,-
Horn,2138,E,0,0,,-,-
VirtualField computer,9999,E,800,800,VFC,-,-
