# SID (defaults to ID.startBit.[responseId]), ID (hex), startBit, endBit, resolution, offset (aplied BEFORE resolution multiplication), decimals, unit, requestID (hex string), responseID (hex string), options (hex, see MainActivity for definitions), optional name, optional list
# 130,44,55,-3,4094,0,Nm,,,ff,DriverBrakeWheelTq_Req
130.44,7bc,28,39,4096,0,Nm,224B7E,624B7E,ff,DriverBrakeWheelTq_Req
# 186,16,27,0.5,800,1,Nm,,,ff,MeanEffectiveTorque
186.16,7bc,
# 186,40,49,0.125,0,1,%,,,ff,Throttle
186.40,7ec,24,49,0.125,0,,1,%,22202E,62202E, ff,Accelerator pedal position
# 18a,27,38,0.5,800,1,Nm,,,ff,Coasting Torque
18a.40,7bc,
# 1f8,16,27,1,4096,0,Nm,,,ff,TotalPotentialResistiveWheelsTorque
1f8.16,7bc,
# 1f8,28,39,-1,4096,0,Nm,,,ff,ElecBrakeWheelsTorqueApplied
1f8.28,7bc,
# 1f8,40,50,10,0,0,Rpm,,,ff,ElecEngineRPM
1f8.40,7bc,24,39,10,32768,0,0,223045,623045, ff,ElecEngineRPM
# 1fd,0,7,0.390625,0,1,%,,,ff,12V Battery Current?
1fd.0,7bc,24,31,1,0,1,A,223025,623025,ff,14V DCDC current measure (verkeerde id, dit req is van de EVC)
# 1fd,48,55,1,80,0,kW,,,ff,Consumption
1fd.48,7bc,
# 35c,5,7,1,0,0,,,,ff,Vehicle state
35c.5,765,
# 427,40,47,0.3,0,0,kW,,,e2,Available Charging Power (UCP)
427.40,7bc,
# 427,49,57,0.1,0,1,kWh,,,e2,Available Energy
427.49,7bc,
# 42a,30,39,0.1,400,1,°C,,,ff,Evaporator Temp Measure
42a.30,764,
# 42a,48,50,1,0,0,,,,e2,ClimLoopMode
42a.48,764,
# 42e,0,12,0.02,0,2,%,,,e3,State of Charge
42e.0,7bc,
# 42e,20,24,5,0,0,%,,,e2,Engine Fan Speed
42e.20,7bc,
# 42e,38,43,1,0,1,A,,,e3,Charging Pilot Current
42e.38,7bc,
# 42e,44,50,1,40,0,°C,,,e3,HV Battery Temp
42e.44,7bc,
# 42e,56,63,0.3,0,1,kW,,,ff,Charging Power
42e.56,7bc,
# 430,24,33,0.5,30,1,°C,,,e2,Comp Temperature Discharge
430.24,764,
# 430,38,39,1,0,0,,,,e2,HV Battery Cooling State
430.38,764,
# 430,40,49,0.1,400,1,°C,,,e2,HV Battery Evaporator Temp
430.40,764,
# 432,36,37,1,0,0,,,,e2,HV Bat Conditionning Mode
432.36,7bc,
# 534,32,40,1,40,0,°C,,,e5,Temp out
534.32,765,
# 5d7,0,15,0.01,0,2,km/h,,,ff,Speed
5d7.0,7ec,
# 5da,0,7,1,40,0,ºC,,,e7,Water temperature
5da.0,7bc,
# 638,37,39,1,0,0,,,,ff,Battery 14v To Be Changed Display
638.37,7ec,
# 654,2,2,1,0,0,,,,ff,Charging Plug Connected
654.2,7ec,31,31,1,0,0,,22339D,62339D,ff,Charging Plug Connected
# 654,25,31,1,0,0,,,,ff,State of Charge
654.25,7ec,
# 654,32,41,1,0,0,min,,,ff,Time to Full
654.32,7ec,
# 654,42,51,1,0,0,km,,,ff,Available Distance
654.42,7ec,
# 656,48,55,1,40,0,°C,,,e2,External Temp
656.48,763,110,117,1,40,0,°C,2143,6143,e2,External Temp
# 658,33,39,1,0,0,%,,,ff,Battery Health
658.33,7bc,72,79,0.5,0,0,%,2161,6161,ff,Battery Health
# 65b,41,43,1,0,0,,,,ff,Charging Status Display
65b.41,7bc,
# 673,0,0,1,0,0,,,,ff,Speed pressure misadaptation
673.0,765,
# 673,2,4,1,0,0,,,,ff,Rear right wheel state
673.2,765,
# 673,5,7,1,0,0,,,,ff,Rear left wheel state
673.5,765,
# 673,8,10,1,0,0,,,,ff,Front right wheel state
673.8,765,
# 673,11,13,1,0,0,,,,ff,Front left wheel state
673.11,765,
# 673,16,23,13.725,0,0,mbar,,,ff,Rear right wheel pressure
673.16,765,    13.725,0,0,mbar,,,ff,Rear right wheel pressure
# 673,24,31,13.725,0,0,mbar,,,ff,Rear left wheel pressure
673.24,765,    13.725,0,0,mbar,,,ff,Rear left wheel pressure
# 673,32,39,13.725,0,0,mbar,,,ff,Front right wheel pressure
673.32,765,    13.725,0,0,mbar,,,ff,Front right wheel pressure
# 673,40,47,13.725,0,0,mbar,,,ff,Front left wheel pressure
673.40,765,2174,6174 13.725,0,0,mbar,,,ff,Front left wheel pressure
# 699,8,15,0.5,0,0,°C,,,e2,Heater setpoint
699.8,764,
#
#
#
,760,56,63,1,0,0,,2180,6180,ff,diagVersion
,760,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,760,128,143,1,0,0,,2180,6180,ff,Soft
,760,144,159,1,0,0,,2180,6180,ff,Version
,760,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,760,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
,762,56,63,1,0,0,,2180,6180,ff,diagVersion
,762,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,762,128,143,1,0,0,,2180,6180,ff,Soft
,762,144,159,1,0,0,,2180,6180,ff,Version
,762,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,762,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
,763,56,63,1,0,0,,2180,6180,ff,diagVersion
,763,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,763,128,143,1,0,0,,2180,6180,ff,Soft
,763,144,159,1,0,0,,2180,6180,ff,Version
,763,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,763,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
