# SID (defaults to ID.startBit.[responseId]), ID (hex), startBit, endBit, resolution, offset (aplied BEFORE resolution multiplication), decimals, unit, requestID (hex string), responseID (hex string), options (hex, see MainActivity for definitions), optional name, optional list
# 130,44,55,-3,4094,0,Nm,,,ff,DriverBrakeWheelTq_Req
# Note that in the next line the resolution is negated from the original definition, to match 130.44
130.44,18daf1e2,28,39,-1,4096,0,Nm,999999,999999,ff,DriverBrakeWheelTq_Req
# 186,40,49,0.125,0,1,%,,,ff,Throttle
186.40,18daf1da,24,39,0.125,0,1,%,22202E,62202E,ff,Accelerator pedal position
# ,1f8,16,27,1,4096,0,Nm,,,ff,TotalPotentialResistiveWheelsTorque
# free frame 1f8.16 is in wheel NM, isotp 22247 in 32's motor torque
1f8.16,18daf1da,24,39,0.29125,32768,0,N.m,222247,622247,ff,Minimum effective torque that can be requested to the electrical motor (EM)
# 1f8,28,39,-1,4096,0,Nm,,,ff,ElecBrakeWheelsTorqueApplied
1f8.28,18daf1e2,28,39,-1,4096,0,Nm,999999,999999,ff,ElecBrakeWheelsTorqueApplied
#  # 1f8,40,50,10,0,0,Rpm,,,ff,ElecEngineRPM
1f8.40,18DAF1DA,24,39,1,0,0,rpm,223064,623064,1ff,Electrical motor engine speed
# 1fd,0,7,0.390625,0,1,%,,,ff,12V Battery Current?
# 1fd.0,18daf1da,24,31,1,0,0,A,223025,623025,ff,14V DCDC current measure
1fd.0,18DAF1DA,24,39,1,32767,0,A,2221DF,6221DF,ff,Low voltage power supply current supply by DCDC
# 1fd,48,55,1,80,0,kW,,,ff,Consumption
# Possible to use a virtual computer field here? No, so this really needs to be changed in the code
# 1fd.48,800,24,55,1,0,0,kW,,,ff,Consumption
# 35c,5,7,1,0,0,,,,ff,Vehicle state
# 35c.5,765,152,159,1,0,0,,210D,610D,ff,Vehicle state
35c.5,765,24,31,1,0,0,,228003,628003,ff,VEHICLE_STATE,0:VS_SLEEPING;1:VS_TECHNICAL_WAKE_UP;2:VS_CUT_OFF_PENDING;4:VS_NOT_USED_4;5:VS_IGNITION_LEVEL;6:VS_STARTING_IN_PROGRESS;7:VS_ENGINE_RUNNING;8:VS_AUTOSTART;10:VS_NOT_USED_10;11:VS_NOT_USED_11;12:VS_NOT_USED_12;13:VS_NOT_USED_13;14:VS_NOT_USED_14;15:VS_UNAVAILABLE;9:VS_ENGINE_SYSTEM_STOP;3:VS_AUTOACC_LEVEL
# 427,40,47,0.3,0,0,kW,,,e2,Available Charging Power (UCP)
# 427.40,18daf1da,24,39,.1,0,1,kW,223470,623470,ff,Available JB2 power for a battery charge
427.40,18DAF1DA,24,39,.025,0,2,kW,22300F,62300F,ff,Available Charging Power AC
# 427,49,57,0.1,0,1,kWh,,,e2,Available Energy
# 427.49,18daf1da,24,39,0.005,0,1,kWh,22320C,62320C,ff,Available discharge Energy
427.49,18DAF1DB,24,47,.001,0,3,kWh,2291C8,6291C8,ff,Available Energy(Wxx_avl_e)
# 42e,0,12,0.02,0,2,%,,,e3,State of Charge
# 42e.0,18daf1da,24,39,0.02,0,2,%,222002,622002,ff,State of Charge
42e.0,18DAF1DB,24,39,.01,0,2,%,229002,629002,ff,Battery USOC(Wxx_usoc_avg)
# 42e,20,24,5,0,0,%,,,e2,Engine Fan Speed
# 42e.20,18daf1da,24,31,5,0,0,%,223471,613471,e2,Engine Fan Speed
# 42e.20,18daf1da,24,31,1,0,0,%,22345E,62345E,ff,FAN global request from ETS in PWM including AC, Cooling needs and Relay protection check
42e.20,764,24,31,1,0,0,%,224258,624258,ff,OH_EngineFanSpeedRequestPWM_AC
# 42e,44,50,1,40,0,°C,,,e3,HV Battery Temp
# 42e.44,18daf1da,24,31,1,40,0,°C,222001,622001,ff,HV Battery Temp
42e.44,18DAF1DB,24,39,.0625,640,2,°C,229012,629012,ff,Average Temperature(Wxx_temp_avg)

# Note that 5d7.0 is best always present as it is used for safe driving mode
# 5d7,0,15,0.01,0,2,km/h,,,ff,Speed
5d7.0,18daf1da,24,39,0.01,0,2,km/h,222003,622003,ff,Speed
#
#,62d,0,9,0.1,0,0,kWh/100km,,,ff,Worst Average Consumption
62d.0,18daf1da,24,39,.001953125,0,3,kW,223457,623457,ff,Mean pessimistic electrical consumption (worst possible consumption)
#,62d,10,19,0.1,0,0,kWh/100km,,,ff,Best Average Consumption
62d.10,18daf1da,24,39,.001953125,0,3,kW,223455,623455,ff,Mean eco electrical consumption (if driver has economical driving behavior)
#,654,52,61,0.1,0,1,kWh/100km,,,ff,Average Consumption
654.52,18daf1da,24,47,0.00000762939453125,0,3,kWh/km,223478,623478,ff,Raw mean consumption per unit of distance
#
# 638,37,39,1,0,0,,,,ff,Battery 14v To Be Changed Display
638.37,18daf1da,29,31,1,0,0,,223486,623486,ff,Battery 14v To Be Changed Display
# 654,2,2,1,0,0,,,,ff,Charging Plug Connected
# 654.2,18daf1da,31,31,1,0,0,,22339D,62339D,ff,Charging Plug detected as present by the Charger.processed,0:No charging plug;1:Charging plug detected
654.2,18DAF1DA,31,31,1,0,0,,222B85,622B85,ff,Mains plug presence,0:Not present;1:present
# 654,42,51,1,0,0,km,,,ff,Available Distance
654.42,18daf1da,24,39,1,0,0,km,223451,623451,ff,Estimated kilometric cruising range sent to MMI
# 656,48,55,1,40,0,°C,,,e2,External Temp
# 656.48,763,110,117,1,40,0,°C,2143,6143,ff,External Temp
656.48,18DAF1DA,24,39,.1,2730,1,°C,2220DE,6220DE,ff,Ambient temperature
# 658,33,39,1,0,0,%,,,ff,Battery Health
# 658.33,18daf1db,72,79,0.5,0,0,%,2161,6161,ff,Battery Health
658.33,18DAF1DB,24,39,.01,0,2,%,229003,629003,ff,Battery SOH(Zxx_sohe_avg)
# 673,0,0,1,0,0,,,,ff,Speed pressure misadaptation
673.0,765,66,66,1,0,0,,2174,6174,ff,SpeedPressureMisadaptation
# 673,2,4,1,0,0,,,,ff,Rear right wheel state
673.2,765,72,74,1,0,0,,2174,6174,ff,RearRightWheelState
# 673,5,7,1,0,0,,,,ff,Rear left wheel state
673.5,765,80,82,1,0,0,,2174,6174,ff,RearLeftWheelState
# 673,8,10,1,0,0,,,,ff,Front right wheel state
673.8,765,88,90,1,0,0,,2174,6174,ff,FrontRightWheelState
# 673,11,13,1,0,0,,,,ff,Front left wheel state
673.11,765,96,98,1,0,0,,2174,6174,ff,FrontLeftWheelState
# 673,16,23,13.725,0,0,mbar,,,ff,Rear right wheel pressure
673.16,765,112,119,13.725,0,0,mbar,2174,6174,ff,RearRightWheelPressure
# 673,24,31,13.725,0,0,mbar,2174,6174,ff,Rear left wheel pressure
673.24,765,120,127,13.725,0,0,mbar,2174,6174,ff,RearLeftWheelPressure
