#Frame ID,interval ZOE, interval FLUKAN, Sending ECU
023,4,4,AIBAG
0C6,10,10,EPS
12E,10,10,ESC
130,10,10,UBP
17A,10,10,EVC
17E,10,10,EVC
186,10,10,EVC
18A,10,10,EVC
1F6,10,10,EVC
1F8,10,10,EVC
1FD,100,100,EVC
212,20,20,USM
242,20,20,ESC
29A,20,20,ESC
29C,20,20,ESC
2B7,20,20,ESC
352,40,200,ESC
354,40,40,ESC
35C,100,100,BCM
391,50,50,CLIM
3B7,100,100,CLUSTER
3F7,60,60,EVC
427,100,100,EVC
42A,100,100,CLIM
42E,100,100,EVC
430,100,100,CLIM
432,100,100,EVC
433,1000,1000,CLUSTER
4F8,100,100,CLUSTER
500,100,100,BCM
505,100,100,BCM
511,100,100,EVC
534,100,100,BCM
552,100,100,BCM
563,100,100,EPS
#5D1,60000,60000,CLUSTER # this frame is AFAIK only sent at bootup
5D7,100,100,ESC
5DA,100,100,EVC
5DE,100,100,BCM
5E9,100,100,UPA
5EE,100,100,BCM
62C,100,100,EPS
62D,500,500,EVC
634,100,100,TCU
637,500,500,EVC
638,100,100,EVC
646,500,500,CLUSTER
650,100,300,EVC
653,100,100,AIRBAG
654,500,500,EVC
656,100,100,CLUSTER
657,100,100,BCM
658,3000,3000,EVC
65B,100,100,EVC
665,3000,3000,CLUSTER
666,100,200,ESC
668,100,100,CLIMA
66A,100,100,EVC
66D,100,100,UBP
671,9999,100,
673,100,100,BCM
68B,100,100,CLUSTER
68C,1000,1000,CLUSTER
699,1000,1000,CLIMA
69F,1000,1000,BCM
6F8,100,100,USM
6FB,3000,3000,CLUSTER
702,100,100,          # LINSCH
722,100,100,LINSCH
740,100,100,          # ESC
742,100,100,          # EPS
743,100,100,          # CLUSTER
744,100,100,          # CLIM
745,100,100,          # BCM
74D,100,100,          # USM
74E,100,100,          # UPA
752,100,100,          # AIBAG
75A,100,100,          # PEB
760,100,100,ESC
762,100,100,EPS
763,100,100,CLUSTER
764,100,100,CLIM
765,100,100,BCM
76D,100,100,USM
76E,100,100,UPA
772,100,100,AIBAG
77E,100,100,PEB
792,100,100,          # BCB
793,100,100,BCB
796,100,100,          # LBC2
79B,100,100,          # LBC
79C,100,100,          # UBP
7B6,100,100,LBC2
7BB,100,100,LBC
7BC,100,100,UBP
7CA,100,100,          # TCU
7DA,100,100,TCU
7DF,100,100,          # Broadcast
7E4,100,100,          # EVC
7EC,100,100,EVC
800,100,100,VFC
